Week,Week_Code,Market,Category,Net_Balance_1000JPY,Net_Balance_Billion_JPY
2025年2月1週,250201,TSE Growth,個　人,-5533606.0,-5.533606
2025年2月1週,250201,TSE Growth,法　人,-2963703.0,-2.963703
2025年2月1週,250201,TSE Growth,自己計,1831246.0,1.831246
2025年2月1週,250201,Tokyo & Nagoya,事業法人,303797651.0,303.797651
2025年2月1週,250201,Tokyo & Nagoya,海外投資家,-265752802.0,-265.752802
2025年2月1週,250201,Tokyo & Nagoya,証券会社,11253893.0,11.253893
2025年2月1週,250201,Tokyo & Nagoya,個　人,489228603.0,489.228603
2025年2月1週,250201,Tokyo & Nagoya,法　人,300559497.0,300.559497
2025年2月1週,250201,Tokyo & Nagoya,自己計,-527311040.0,-527.31104
2025年2月1週,250201,TSE Growth,証券会社,-261048.0,-0.261048
2025年2月1週,250201,Tokyo & Nagoya,投資信託,26784917.0,26.784917
2025年2月1週,250201,TSE Growth,投資信託,647278.0,0.647278
2025年2月1週,250201,TSE Prime,事業法人,293384430.0,293.38443
2025年2月1週,250201,TSE Standard,自己計,1919656.0,1.919656
2025年2月1週,250201,TSE Prime,投資信託,27697673.0,27.697673
2025年2月1週,250201,TSE Prime,証券会社,12093303.0,12.093303
2025年2月1週,250201,TSE Prime,海外投資家,-282093776.0,-282.093776
2025年2月1週,250201,TSE Prime,個　人,505052450.0,505.05245
2025年2月1週,250201,TSE Prime,法　人,302082982.0,302.082982
2025年2月1週,250201,TSE Prime,自己計,-536598530.0,-536.59853
2025年2月1週,250201,TSE Growth,事業法人,746895.0,0.746895
2025年2月1週,250201,TSE Standard,投資信託,-1421517.0,-1.421517
2025年2月1週,250201,TSE Standard,証券会社,-551629.0,-0.551629
2025年2月1週,250201,TSE Standard,海外投資家,7678563.0,7.678563
2025年2月1週,250201,TSE Standard,個　人,-3916108.0,-3.916108
2025年2月1週,250201,TSE Standard,法　人,2126763.0,2.126763
2025年2月1週,250201,TSE Standard,事業法人,10192023.0,10.192023
2025年2月2週,250202,TSE Growth,海外投資家,-7347738.0,-7.347738
2025年2月2週,250202,TSE Growth,個　人,14740164.0,14.740164
2025年2月2週,250202,TSE Growth,法　人,-1074924.0,-1.074924
2025年2月2週,250202,TSE Growth,自己計,-6772983.0,-6.772983
2025年2月2週,250202,Tokyo & Nagoya,事業法人,167565534.0,167.565534
2025年2月2週,250202,Tokyo & Nagoya,海外投資家,96432842.0,96.432842
2025年2月2週,250202,Tokyo & Nagoya,証券会社,-16548762.0,-16.548762
